Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,fetched_at
227993,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1991,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.8 [4.2-7.9],5.8,4.2,7.9,,2017-11-17T08:32:33+01:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1178238,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1985,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.5 [2.2-7.9],4.5,2.2,7.9,,2017-11-17T08:25:42+01:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1330052,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2003,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.9 [5.7-10.4],7.9,5.7,10.4,,2017-11-17T08:25:42+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1393310,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2010,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.1 [5.5-11.3],8.1,5.5,11.3,,2017-11-17T08:28:39+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1393331,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1982,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.0 [1.6-7.8],4.0,1.6,7.8,,2017-11-17T08:25:42+01:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1693704,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1990,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.4 [3.2-8.4],5.4,3.2,8.4,,2017-11-17T08:25:42+01:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
2258929,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1999,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.2 [5.6-9.0],7.2,5.6,9.0,,2017-11-17T08:33:58+01:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3020130,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2006,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.9 [5.7-10.4],7.9,5.7,10.4,,2017-11-17T08:28:38+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3470042,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1988,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.3 [3.6-7.6],5.3,3.6,7.6,,2017-11-17T08:32:02+01:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3514431,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2001,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.5 [5.4-10.1],7.5,5.4,10.1,,2017-11-17T08:25:42+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3519846,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1987,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.5 [3.0-9.1],5.5,3.0,9.1,,2017-11-17T08:28:38+01:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3647195,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2013,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.6 [6.1-11.6],8.6,6.1,11.6,,2017-11-17T08:36:25+01:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4427905,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2008,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.0 [5.7-10.8],8.0,5.7,10.8,,2017-11-17T08:28:38+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4763337,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2005,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.8 [5.7-10.3],7.8,5.7,10.3,,2017-11-17T08:28:38+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4821019,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1986,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.4 [2.8-9.1],5.4,2.8,9.1,,2017-11-17T08:28:38+01:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4846451,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2004,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.0 [5.9-10.6],8.0,5.9,10.6,,2017-11-17T08:25:42+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5139085,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1998,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.9 [4.8-9.6],6.9,4.8,9.6,,2017-11-17T08:25:42+01:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1390295,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1993,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.2 [4.5-8.2],6.2,4.5,8.2,,2017-11-17T08:32:54+01:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
1526429,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1990,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.0 [3.6-9.1],6.0,3.6,9.1,,2017-11-17T08:28:38+01:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
2052757,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1985,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.9 [3.0-7.3],4.9,3.0,7.3,,2017-11-17T08:31:29+01:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
2643154,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1984,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.7 [2.8-7.3],4.7,2.8,7.3,,2017-11-17T08:31:18+01:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3314744,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2006,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.3 [6.1-11.1],8.3,6.1,11.1,,2017-11-17T08:25:42+01:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3460944,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2007,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.2 [6.5-10.1],8.2,6.5,10.1,,2017-11-17T08:35:21+01:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
3784312,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2011,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.8 [5.8-12.6],8.8,5.8,12.6,,2017-11-17T08:25:42+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
4882743,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2002,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.7 [5.6-10.3],7.7,5.6,10.3,,2017-11-17T08:25:42+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5250530,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1997,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.7 [4.5-9.4],6.7,4.5,9.4,,2017-11-17T08:25:42+01:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5345810,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1995,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.7 [4.5-9.5],6.7,4.5,9.5,,2017-11-17T08:28:38+01:00,1995,1995-01-01T00:00:00+01:00,1995-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5580055,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2012,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.6 [6.2-11.3],8.6,6.2,11.3,,2017-11-17T08:36:15+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
6316239,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1999,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.2 [5.1-9.9],7.2,5.1,9.9,,2017-11-17T08:28:38+01:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7234245,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1994,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.1 [4.0-8.9],6.1,4.0,8.9,,2017-11-17T08:25:42+01:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7380165,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2011,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.2 [5.3-11.6],8.2,5.3,11.6,,2017-11-17T08:28:39+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7647672,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1992,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.3 [3.9-9.3],6.3,3.9,9.3,,2017-11-17T08:28:38+01:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8065444,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1984,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.1 [2.4-9.2],5.1,2.4,9.2,,2017-11-17T08:28:38+01:00,1984,1984-01-01T00:00:00+01:00,1984-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8097358,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1986,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.7 [2.4-8.0],4.7,2.4,8.0,,2017-11-17T08:25:42+01:00,1986,1986-01-01T00:00:00+01:00,1986-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
5163752,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1982,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.4 [2.4-7.2],4.4,2.4,7.2,,2017-11-17T08:30:55+01:00,1982,1982-01-01T00:00:00+01:00,1982-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
6527843,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1997,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.0 [4.8-9.7],7.0,4.8,9.7,,2017-11-17T08:28:38+01:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
6654824,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1998,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.0 [5.4-8.9],7.0,5.4,8.9,,2017-11-17T08:33:48+01:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
6787753,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2003,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.8 [6.2-9.5],7.8,6.2,9.5,,2017-11-17T08:34:40+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
6825843,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2001,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.5 [5.9-9.3],7.5,5.9,9.3,,2017-11-17T08:34:19+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7021271,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2011,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.5 [6.3-11.0],8.5,6.3,11.0,,2017-11-17T08:36:04+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7104315,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2012,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.2 [5.1-11.9],8.2,5.1,11.9,,2017-11-17T08:28:39+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7217564,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2008,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.6 [6.1-11.6],8.6,6.1,11.6,,2017-11-17T08:25:42+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
7345891,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1983,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.0 [2.2-9.2],5.0,2.2,9.2,,2017-11-17T08:28:38+01:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8220940,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2014,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.7 [5.9-12.0],8.7,5.9,12.0,,2017-11-17T08:36:35+01:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8473963,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2010,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.7 [6.0-12.2],8.7,6.0,12.2,,2017-11-17T08:25:42+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
8708935,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1981,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,4.3 [2.2-7.2],4.3,2.2,7.2,,2017-11-17T08:30:45+01:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
9172821,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1988,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,5.0 [2.8-8.2],5.0,2.8,8.2,,2017-11-17T08:25:42+01:00,1988,1988-01-01T00:00:00+01:00,1988-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
9444664,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2001,SEX_FMLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,7.4 [5.3-10.0],7.4,5.3,10.0,,2017-11-17T08:28:38+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
9692337,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2010,SEX_BTSX,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,8.4 [6.4-10.7],8.4,6.4,10.7,,2017-11-17T08:35:53+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
9908163,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1981,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,3.8 [1.5-7.8],3.8,1.5,7.8,,2017-11-17T08:25:42+01:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
10008378,NCD_GLUC_04,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,1993,SEX_MLE,AGEGROUP,AGEGROUP_YEARS18-PLUS,,,,,6.0 [3.8-8.8],6.0,3.8,8.8,,2017-11-17T08:25:42+01:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00,2026-04-30 23:10:06.861411
